omega,S_connected_symmetrized
-5.325892282872309380e+01,0.000000000000000000e+00
-5.323145561736222220e+01,0.000000000000000000e+00
-5.320398840600135770e+01,0.000000000000000000e+00
-5.317652119464048610e+01,0.000000000000000000e+00
-5.314905398327962160e+01,0.000000000000000000e+00
-5.312158677191875000e+01,0.000000000000000000e+00
-5.309411956055788551e+01,0.000000000000000000e+00
-5.306665234919701390e+01,0.000000000000000000e+00
-5.303918513783614941e+01,0.000000000000000000e+00
-5.301171792647527781e+01,0.000000000000000000e+00
-5.298425071511441331e+01,0.000000000000000000e+00
-5.295678350375354171e+01,0.000000000000000000e+00
-5.292931629239267721e+01,0.000000000000000000e+00
-5.290184908103180561e+01,0.000000000000000000e+00
-5.287438186967094111e+01,0.000000000000000000e+00
-5.284691465831006951e+01,0.000000000000000000e+00
-5.281944744694920502e+01,0.000000000000000000e+00
-5.279198023558833341e+01,0.000000000000000000e+00
-5.276451302422746892e+01,0.000000000000000000e+00
-5.273704581286659732e+01,0.000000000000000000e+00
-5.270957860150573282e+01,0.000000000000000000e+00
-5.268211139014486122e+01,0.000000000000000000e+00
-5.265464417878399672e+01,0.000000000000000000e+00
-5.262717696742312512e+01,0.000000000000000000e+00
-5.259970975606226062e+01,0.000000000000000000e+00
-5.257224254470138902e+01,0.000000000000000000e+00
-5.254477533334052453e+01,0.000000000000000000e+00
-5.251730812197965292e+01,0.000000000000000000e+00
-5.248984091061878843e+01,0.000000000000000000e+00
-5.246237369925791683e+01,0.000000000000000000e+00
-5.243490648789705233e+01,0.000000000000000000e+00
-5.240743927653618073e+01,0.000000000000000000e+00
-5.237997206517531623e+01,0.000000000000000000e+00
-5.235250485381444463e+01,0.000000000000000000e+00
-5.232503764245358013e+01,0.000000000000000000e+00
-5.229757043109270853e+01,0.000000000000000000e+00
-5.227010321973184404e+01,0.000000000000000000e+00
-5.224263600837097243e+01,0.000000000000000000e+00
-5.221516879701010794e+01,0.000000000000000000e+00
-5.218770158564923634e+01,0.000000000000000000e+00
-5.216023437428837184e+01,0.000000000000000000e+00
-5.213276716292750024e+01,0.000000000000000000e+00
-5.210529995156663574e+01,0.000000000000000000e+00
-5.207783274020576414e+01,0.000000000000000000e+00
-5.205036552884489964e+01,0.000000000000000000e+00
-5.202289831748402804e+01,0.000000000000000000e+00
-5.199543110612316354e+01,0.000000000000000000e+00
-5.196796389476229194e+01,0.000000000000000000e+00
-5.194049668340142745e+01,0.000000000000000000e+00
-5.191302947204055585e+01,0.000000000000000000e+00
-5.188556226067969135e+01,0.000000000000000000e+00
-5.185809504931881975e+01,0.000000000000000000e+00
-5.183062783795795525e+01,0.000000000000000000e+00
-5.180316062659708365e+01,0.000000000000000000e+00
-5.177569341523621915e+01,0.000000000000000000e+00
-5.174822620387534755e+01,0.000000000000000000e+00
-5.172075899251448305e+01,0.000000000000000000e+00
-5.169329178115361145e+01,0.000000000000000000e+00
-5.166582456979274696e+01,0.000000000000000000e+00
-5.163835735843187535e+01,0.000000000000000000e+00
-5.161089014707101086e+01,0.000000000000000000e+00
-5.158342293571014636e+01,0.000000000000000000e+00
